item_class,model,bone,surface,mass,linear_damping,angular_damping,volume,centre_of_mass,inertia,held_bone,points,game_volume,game_centre_of_mass,hull_frame
weapon_awp,awp/weapon_snip_awp.gltf,weapon_offset,,5.0,0.0,0.0,661.7095,-0.0049 7.8093 11.843,177.1978 173.1984 4.7541 -0.0207 -0.0385 -9.1379,-0.193 8.9907 5.2908 -0.5 -0.5 -0.5 0.5,-1.1 8.314 -9.592;0.0 12.577 4.162;-1.101 11.886 4.117;0.0 8.845 -10.154;-1.097 3.905 -9.737;0.0 3.39 -10.332;1.097 3.9 -9.738;1.1 8.314 -9.592;1.101 11.886 4.117;0.0 10.057 43.659;1.098 9.4 43.122;-0.312 2.754 2.401;0.002 8.257 43.639;0.055 4.114 13.747;-1.097 8.79 43.116;-1.096 3.163 2.245;1.097 8.791 43.116;1.097 3.439 -3.075;1.097 5.593 20.208;-1.098 9.4 43.122;0.058 2.765 -0.86,661.7,0.0428 7.1209 11.7951,model
weapon_g3sg1,g3sg1/weapon_snip_g3sg1.gltf,weapon_offset,,5.0,0.0,0.0,668.4562,0.0 4.8084 19.7759,110.0391 104.2822 6.5212 0.0 0.0 -4.1872,-0.1741 5.7217 17.9572 -0.5 -0.5 -0.5 0.5,0.0 10.312 11.099;1.1 5.472 1.369;1.1 9.565 11.039;0.0 5.932 0.753;-1.1 5.472 1.369;-1.1 9.565 11.039;0.0 0.713 1.125;1.1 -0.321 21.284;1.1 1.359 1.662;0.0 -1.017 21.349;-1.1 -0.321 21.284;-1.1 1.359 1.663;-1.1 8.062 36.006;0.0 8.817 35.937;-1.1 5.62 43.067;1.1 8.062 36.006;1.1 5.62 43.067;1.082 5.619 43.105;0.0 5.057 43.622;0.0 6.154 43.633;-1.082 5.619 43.105,668.4636,0.0 5.082 22.5041,model
weapon_scar20,scar20/weapon_snip_scar20.gltf,weapon_offset,,5.0,0.0,0.0,647.3555,0.0 11.342 20.1459,107.9649 102.1994 6.5309 0.0 0.0 -6.5679,-0.1931 12.4036 18.1348 -0.5 -0.5 -0.5 0.5,1.1 7.129 2.566;0.0 5.771 18.759;1.1 6.447 18.619;0.0 6.482 2.016;-1.1 6.447 18.619;-1.1 7.129 2.566;-1.1 12.045 2.578;0.0 12.562 2.029;1.1 12.045 2.578;1.1 15.65 13.763;1.1 11.991 43.992;1.1 15.976 28.318;1.1 13.413 5.232;0.0 16.574 28.705;0.0 16.231 13.354;-1.1 15.65 13.763;-1.1 13.413 5.232;-1.1 11.991 43.992;-1.1 15.976 28.318;0.0 13.986 4.792;1.071 11.989 44.071;0.0 11.414 44.587;0.0 12.536 44.588;-1.071 11.989 44.071,647.362,0.0 11.8681 19.8799,model
weapon_c4,c4/weapon_c4.gltf,weapon_offset,,4.0,0.0,0.0,176.4593,0.064 -0.23 -0.82,7.8733 11.1602 4.5564 0.0 0.0 0.0,-4.0 3.0495 -0.1966 -0.5 -0.5 -0.5 0.5,3.494 -1.61 -5.48;3.494 1.15 3.84;3.494 1.15 -5.48;3.494 -1.61 3.84;-3.366 -1.61 3.84;-3.366 -1.61 -5.48;-3.366 1.15 3.84;-3.366 1.15 -5.48,176.4612,0.064 -0.23 -0.82,model
item_defuser,defuser/defuser.gltf,weapon_hand_r,,15.0,0.0,0.0,567.0629,0.323 0.248 0.2302,6.4755 19.38 20.1423 0.7972 -0.6644 -0.2034,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,7.512 3.387 2.721;-6.349 2.625 3.223;-7.392 4.304 0.909;6.705 2.524 3.859;7.192 -2.65 3.053;-6.72 -2.392 2.399;-5.913 -3.063 2.331;6.482 -3.33 2.908;-7.812 4.274 -0.023;-7.658 -2.007 0.318;-7.966 3.563 -0.366;7.288 -3.446 0.679;1.904 -2.73 -3.243;2.146 -3.443 -2.037;3.891 -1.855 -3.519;7.503 -2.011 -1.378;8.064 -2.91 0.279;8.473 -2.197 1.229;-6.293 -3.148 0.171;8.511 3.227 1.287;8.726 2.774 0.971;8.358 2.092 0.125;-0.214 3.554 -3.054;2.944 1.561 -3.268;-7.171 -2.57 -0.585;-3.786 -1.774 -3.118;-6.855 -2.203 -1.349;3.325 -0.994 -3.654;-2.807 0.497 -3.608;-7.823 3.244 -0.594;-2.92 1.073 -3.522;-0.284 3.559 -3.056,567.066,0.3458 -0.0145 -0.3097,model
weapon_taser,taser/weapon_pist_taser.gltf,weapon_offset,,3.0,0.0,0.0,76.5739,0.0 3.7768 1.8804,8.1569 5.8497 2.8729 0.0 0.0 -1.5733,0.0 5.8617 2.5046 -0.5 -0.5 -0.5 0.5,1.0 0.845 -1.618;0.0 -0.439 0.144;1.0 0.445 -0.324;0.0 0.378 -2.502;0.0 6.802 -1.592;1.0 5.842 -0.91;-1.0 0.845 -1.618;-1.0 5.842 -0.91;-1.0 0.445 -0.324;1.0 4.859 6.745;0.0 4.038 7.315;-1.0 4.859 6.746;0.0 6.667 5.504;1.0 5.705 6.31;-1.0 5.705 6.31;1.0 5.568 6.874;0.0 6.137 7.696;-1.0 5.568 6.874,76.5749,0.0 3.8952 2.8178,model
weapon_hegrenade,grenade/hegrenade/weapon_hegrenade.gltf,weapon_offset,,3.0,0.0,0.0,56.2381,0.0495 -0.032 0.1043,2.6563 1.8678 2.7784 -0.0487 0.0172 -0.0156,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,-0.153 0.119 2.307;1.294 3.073 0.635;1.892 -0.042 1.673;-0.752 3.31 0.635;0.211 -1.115 -2.108;-1.216 -2.436 -0.916;0.77 -2.665 -0.916;-1.834 -0.954 -1.474;2.193 -1.271 0.041;0.77 -2.665 1.084;-1.216 -2.436 1.084;1.294 3.073 -0.355;-0.752 3.31 -0.355;-2.136 0.275 0.158;-0.247 -1.079 2.307;-1.834 -0.954 1.673;0.305 0.083 -2.108;1.892 -0.042 -1.474;1.798 -1.24 1.673;1.798 -1.24 -1.474;-2.23 -0.923 0.158;-1.74 0.244 -1.474;-1.74 0.244 1.673;2.288 -0.073 0.041,56.2377,0.0273 -0.2251 0.1036,model
weapon_flashbang,grenade/flashbang/weapon_flashbang.gltf,weapon_offset,,3.0,0.0,8.0,47.3265,-0.1951 -0.2718 0.0,4.7952 1.068 5.0194 0.0674 0.0 0.0,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,1.485 2.937 0.0;0.0 2.937 1.485;0.0 4.795 0.0;0.0 2.937 -1.485;-1.048 -3.827 -1.016;-2.454 -1.179 0.0;-1.487 -3.827 0.0;-0.294 2.796 -1.363;-2.322 2.479 0.0;-0.294 2.796 1.363;-0.914 -3.827 1.106;-1.048 -3.827 1.016;0.0 -3.827 1.485;-0.914 -3.827 -1.106;0.0 -3.827 -1.485;1.05 -3.827 -1.05;1.485 -3.827 0.0;1.05 -3.827 1.05;1.05 -3.782 1.05;1.05 -3.782 -1.05,47.3263,-0.1802 -1.267 0.0,model
weapon_smokegrenade,grenade/smokegrenade/weapon_smokegrenade.gltf,weapon_offset,,3.0,0.0,8.0,34.6779,0.0 -0.6368 0.0,3.6322 0.8902 3.6322 0.0 0.0 0.0,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,-1.485 2.254 0.0;0.0 2.254 -1.485;0.0 3.523 0.0;1.485 2.254 0.0;0.0 2.254 1.485;-1.05 -3.576 -1.05;0.0 -3.577 -1.485;-1.485 -3.577 0.0;-1.05 -3.576 1.05;0.0 -3.577 1.485;1.05 -3.576 1.05;1.485 -3.577 0.0;1.05 -3.576 -1.05,34.678,0.0 -1.2367 0.0,model
weapon_molotov,grenade/molotov/weapon_molotov.gltf,molotov,,3.0,0.0,8.0,102.0957,0.0 0.1692 0.0,9.875 1.5181 9.875 0.0 0.0 0.0,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,-1.35 3.126 1.35;0.0 8.835 0.0;0.0 3.126 1.909;1.35 3.126 1.35;0.0 3.126 -1.909;-1.35 3.126 -1.35;1.35 3.126 -1.35;-1.909 3.126 0.0;1.909 3.126 0.0;-1.35 -4.874 -1.35;0.0 -4.874 -1.909;-1.909 -4.874 0.0;1.35 -4.874 -1.35;1.909 -4.874 0.0;-1.35 -4.874 1.35;0.0 -4.874 1.909;1.35 -4.874 1.35,102.0966,0.0 -0.3026 0.0,model
weapon_incgrenade,grenade/incendiary/weapon_incendiarygrenade.gltf,weapon_offset,,3.0,0.0,8.0,34.6779,0.0 -0.6368 0.0,3.6322 0.8902 3.6322 0.0 0.0 0.0,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,-1.485 2.254 0.0;0.0 2.254 -1.485;0.0 3.523 0.0;1.485 2.254 0.0;0.0 2.254 1.485;-1.05 -3.576 -1.05;0.0 -3.577 -1.485;-1.485 -3.577 0.0;-1.05 -3.576 1.05;0.0 -3.577 1.485;1.05 -3.576 1.05;1.485 -3.577 0.0;1.05 -3.576 -1.05,34.678,0.0 -1.2367 0.0,model
weapon_decoy,grenade/decoy/weapon_decoy.gltf,weapon_offset,,3.0,0.0,8.0,47.3265,-0.1951 -0.2718 0.0,4.7952 1.068 5.0194 0.0674 0.0 0.0,0.0 0.0 0.0 -0.5 -0.5 -0.5 0.5,1.485 2.937 0.0;0.0 2.937 1.485;0.0 4.795 0.0;0.0 2.937 -1.485;-1.048 -3.827 -1.016;-2.454 -1.179 0.0;-1.487 -3.827 0.0;-0.294 2.796 -1.363;-2.322 2.479 0.0;-0.294 2.796 1.363;-0.914 -3.827 1.106;-1.048 -3.827 1.016;0.0 -3.827 1.485;-0.914 -3.827 -1.106;0.0 -3.827 -1.485;1.05 -3.827 -1.05;1.485 -3.827 0.0;1.05 -3.827 1.05;1.05 -3.782 1.05;1.05 -3.782 -1.05,47.3263,-0.1802 -1.267 0.0,model
